!CSV A.01.01
!Keysight Technologies,P5004B,MY61400324,A.19.30.21
!Date: Thursday, November 06, 2025 15:38:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S11(DB),S11(DEG)
6566669188.8201,0.0065535218,-27.399778,0.0065535218,-27.399778
6566694929.1241,0.0045845727,-27.502716,0.0045845727,-27.502716
6566720669.4281,0.0031357293,-27.448288,0.0031357293,-27.448288
6566746409.7321,0.0097795716,-27.475636,0.0097795716,-27.475636
6566772150.0361,0.011718286,-27.485918,0.011718286,-27.485918
6566797890.3401,0.0026385316,-27.496096,0.0026385316,-27.496096
6566823630.6441,0.007064227,-27.492542,0.007064227,-27.492542
6566849370.9481,0.0058545643,-27.49081,0.0058545643,-27.49081
6566875111.2521,0.0028863614,-27.527554,0.0028863614,-27.527554
6566900851.5561,0.0023860307,-27.527746,0.0023860307,-27.527746
6566926591.8601,0.015104569,-27.545391,0.015104569,-27.545391
6566952332.1641,0.0036354566,-27.5653,0.0036354566,-27.5653
6566978072.4681,0.0069055427,-27.548223,0.0069055427,-27.548223
6567003812.7722,0.0099851554,-27.585541,0.0099851554,-27.585541
6567029553.0762,0.0052997647,-27.601732,0.0052997647,-27.601732
6567055293.3802,0.0030177729,-27.58931,0.0030177729,-27.58931
6567081033.6842,-0.00013409139,-27.607454,-0.00013409139,-27.607454
6567106773.9882,0.007303535,-27.626797,0.007303535,-27.626797
6567132514.2922,0.00064554805,-27.639059,0.00064554805,-27.639059
6567158254.5962,0.0078141522,-27.597311,0.0078141522,-27.597311
6567183994.9002,0.00052700634,-27.656412,0.00052700634,-27.656412
6567209735.2042,0.0094758272,-27.664513,0.0094758272,-27.664513
6567235475.5082,0.0013588008,-27.653864,0.0013588008,-27.653864
6567261215.8122,0.00021122437,-27.657345,0.00021122437,-27.657345
6567286956.1162,0.002126788,-27.709194,0.002126788,-27.709194
6567312696.4202,0.00056272448,-27.70067,0.00056272448,-27.70067
6567338436.7242,0.0028749793,-27.68689,0.0028749793,-27.68689
6567364177.0282,0.0053313067,-27.724459,0.0053313067,-27.724459
6567389917.3322,0.007530943,-27.721014,0.007530943,-27.721014
6567415657.6362,0.0051715248,-27.730204,0.0051715248,-27.730204
6567441397.9402,-0.0019268611,-27.71019,-0.0019268611,-27.71019
6567467138.2442,0.005166871,-27.805807,0.005166871,-27.805807
6567492878.5483,0.00075373397,-27.786261,0.00075373397,-27.786261
6567518618.8523,0.0028568711,-27.786165,0.0028568711,-27.786165
6567544359.1563,0.0058437069,-27.75774,0.0058437069,-27.75774
6567570099.4603,0.0010689589,-27.753304,0.0010689589,-27.753304
6567595839.7643,0.007867381,-27.783688,0.007867381,-27.783688
6567621580.0683,0.0034647486,-27.750975,0.0034647486,-27.750975
6567647320.3723,0.0016750168,-27.799593,0.0016750168,-27.799593
6567673060.6763,0.0024206988,-27.802536,0.0024206988,-27.802536
6567698800.9803,0.0031331426,-27.822758,0.0031331426,-27.822758
6567724541.2843,0.0011233058,-27.851093,0.0011233058,-27.851093
6567750281.5883,0.00030337294,-27.852209,0.00030337294,-27.852209
6567776021.8923,0.0023534321,-27.854328,0.0023534321,-27.854328
6567801762.1963,0.0063451906,-27.84654,0.0063451906,-27.84654
6567827502.5003,-0.00084396458,-27.87101,-0.00084396458,-27.87101
6567853242.8043,0.00058343052,-27.887445,0.00058343052,-27.887445
6567878983.1083,-0.0026134569,-27.884844,-0.0026134569,-27.884844
6567904723.4123,0.0018690823,-27.90377,0.0018690823,-27.90377
6567930463.7163,-0.0012442579,-27.927818,-0.0012442579,-27.927818
6567956204.0203,-0.0038043144,-27.941315,-0.0038043144,-27.941315
6567981944.3244,-0.0014672056,-27.931297,-0.0014672056,-27.931297
6568007684.6284,-0.001142498,-27.934578,-0.001142498,-27.934578
6568033424.9324,-0.0069559501,-27.966276,-0.0069559501,-27.966276
6568059165.2364,0.0038444351,-27.952269,0.0038444351,-27.952269
6568084905.5404,0.0013675992,-27.953793,0.0013675992,-27.953793
6568110645.8444,-0.00066894497,-27.97451,-0.00066894497,-27.97451
6568136386.1484,-0.004209545,-28.001945,-0.004209545,-28.001945
6568162126.4524,-0.0082981633,-27.976871,-0.0082981633,-27.976871
6568187866.7564,-0.004659384,-28.019699,-0.004659384,-28.019699
6568213607.0604,0.0005301123,-28.015259,0.0005301123,-28.015259
6568239347.3644,-0.0036185535,-28.001982,-0.0036185535,-28.001982
6568265087.6684,-0.0015676783,-28.02529,-0.0015676783,-28.02529
6568290827.9724,-0.0014521867,-28.054083,-0.0014521867,-28.054083
6568316568.2764,-0.010467948,-28.058983,-0.010467948,-28.058983
6568342308.5804,-0.0066686831,-28.112425,-0.0066686831,-28.112425
6568368048.8844,-0.0075372825,-28.116272,-0.0075372825,-28.116272
6568393789.1884,-0.0087702144,-28.130943,-0.0087702144,-28.130943
6568419529.4924,-0.0041807834,-28.112932,-0.0041807834,-28.112932
6568445269.7964,-0.0061084642,-28.119188,-0.0061084642,-28.119188
6568471010.1005,-0.0018766203,-28.128347,-0.0018766203,-28.128347
6568496750.4045,-0.0040087388,-28.153759,-0.0040087388,-28.153759
6568522490.7085,-0.0092908274,-28.177282,-0.0092908274,-28.177282
6568548231.0125,-0.0066992757,-28.178844,-0.0066992757,-28.178844
6568573971.3165,-0.0051471083,-28.199553,-0.0051471083,-28.199553
6568599711.6205,-0.00072279637,-28.183477,-0.00072279637,-28.183477
6568625451.9245,-0.0047441232,-28.209057,-0.0047441232,-28.209057
6568651192.2285,-0.006326477,-28.265469,-0.006326477,-28.265469
6568676932.5325,-0.0027491832,-28.19799,-0.0027491832,-28.19799
6568702672.8365,-0.00036241868,-28.24118,-0.00036241868,-28.24118
6568728413.1405,-0.0059855934,-28.240623,-0.0059855934,-28.240623
6568754153.4445,-0.0058440636,-28.26321,-0.0058440636,-28.26321
6568779893.7485,-0.0014863678,-28.278784,-0.0014863678,-28.278784
6568805634.0525,-0.0095367581,-28.279036,-0.0095367581,-28.279036
6568831374.3565,-0.0048840623,-28.285362,-0.0048840623,-28.285362
6568857114.6605,-0.0055594621,-28.314762,-0.0055594621,-28.314762
6568882854.9645,-0.010146718,-28.313213,-0.010146718,-28.313213
6568908595.2685,-0.013583397,-28.299105,-0.013583397,-28.299105
6568934335.5725,-0.0021656423,-28.344547,-0.0021656423,-28.344547
6568960075.8766,-0.0016199872,-28.321535,-0.0016199872,-28.321535
6568985816.1806,-0.0042271642,-28.322803,-0.0042271642,-28.322803
6569011556.4846,-0.0071229259,-28.362219,-0.0071229259,-28.362219
6569037296.7886,-0.0035418677,-28.357801,-0.0035418677,-28.357801
6569063037.0926,-0.0088028964,-28.356237,-0.0088028964,-28.356237
6569088777.3966,-0.0085388506,-28.348717,-0.0085388506,-28.348717
6569114517.7006,-0.0085085044,-28.362602,-0.0085085044,-28.362602
6569140258.0046,-0.0027968439,-28.348997,-0.0027968439,-28.348997
6569165998.3086,-0.0074755675,-28.353542,-0.0074755675,-28.353542
6569191738.6126,-0.0067246831,-28.439072,-0.0067246831,-28.439072
6569217478.9166,-0.0057447879,-28.420759,-0.0057447879,-28.420759
6569243219.2206,-0.0078904759,-28.374083,-0.0078904759,-28.374083
6569268959.5246,-0.009375656,-28.389011,-0.009375656,-28.389011
6569294699.8286,-0.0092246765,-28.411123,-0.0092246765,-28.411123
6569320440.1326,-0.0031685627,-28.450623,-0.0031685627,-28.450623
6569346180.4366,-0.0038079417,-28.435555,-0.0038079417,-28.435555
6569371920.7406,-0.0054830015,-28.440619,-0.0054830015,-28.440619
6569397661.0446,-0.005616744,-28.429911,-0.005616744,-28.429911
6569423401.3486,-0.0025430054,-28.468344,-0.0025430054,-28.468344
6569449141.6527,-0.015745172,-28.458271,-0.015745172,-28.458271
6569474881.9567,-0.001363887,-28.44721,-0.001363887,-28.44721
6569500622.2607,-0.003904064,-28.481337,-0.003904064,-28.481337
6569526362.5647,-0.0049397801,-28.466022,-0.0049397801,-28.466022
6569552102.8687,-0.0075678811,-28.502428,-0.0075678811,-28.502428
6569577843.1727,-0.00042429173,-28.514353,-0.00042429173,-28.514353
6569603583.4767,-0.005218639,-28.491102,-0.005218639,-28.491102
6569629323.7807,-0.0041667917,-28.485449,-0.0041667917,-28.485449
6569655064.0847,-0.0050973487,-28.531384,-0.0050973487,-28.531384
6569680804.3887,-0.0068610567,-28.566206,-0.0068610567,-28.566206
6569706544.6927,-0.0031732256,-28.499256,-0.0031732256,-28.499256
6569732284.9967,-0.011083488,-28.530563,-0.011083488,-28.530563
6569758025.3007,-0.011309278,-28.567541,-0.011309278,-28.567541
6569783765.6047,-0.011535598,-28.583717,-0.011535598,-28.583717
6569809505.9087,-0.0042530755,-28.555531,-0.0042530755,-28.555531
6569835246.2127,-0.0091917319,-28.570414,-0.0091917319,-28.570414
6569860986.5167,-0.013578722,-28.582703,-0.013578722,-28.582703
6569886726.8207,-0.0081415158,-28.587618,-0.0081415158,-28.587618
6569912467.1247,-0.0069097993,-28.597378,-0.0069097993,-28.597378
6569938207.4288,-0.013991099,-28.607855,-0.013991099,-28.607855
6569963947.7328,-0.0059508588,-28.61841,-0.0059508588,-28.61841
6569989688.0368,-0.0061548655,-28.586487,-0.0061548655,-28.586487
6570015428.3408,-0.0096768523,-28.593426,-0.0096768523,-28.593426
6570041168.6448,-0.009275781,-28.608891,-0.009275781,-28.608891
6570066908.9488,-0.0062982203,-28.677868,-0.0062982203,-28.677868
6570092649.2528,-0.007044882,-28.646523,-0.007044882,-28.646523
6570118389.5568,-0.0067381649,-28.665192,-0.0067381649,-28.665192
6570144129.8608,-0.0062927762,-28.658945,-0.0062927762,-28.658945
6570169870.1648,0.0018758099,-28.695145,0.0018758099,-28.695145
6570195610.4688,-0.00022029517,-28.704748,-0.00022029517,-28.704748
6570221350.7728,-0.012068743,-28.718794,-0.012068743,-28.718794
6570247091.0768,-0.0060029612,-28.725805,-0.0060029612,-28.725805
6570272831.3808,-0.0053430428,-28.770809,-0.0053430428,-28.770809
6570298571.6848,-0.0065527968,-28.754141,-0.0065527968,-28.754141
6570324311.9888,-0.0023762053,-28.746248,-0.0023762053,-28.746248
6570350052.2928,-0.0099194329,-28.796211,-0.0099194329,-28.796211
6570375792.5968,-0.0047068065,-28.789438,-0.0047068065,-28.789438
6570401532.9008,-0.012554444,-28.798038,-0.012554444,-28.798038
6570427273.2049,-0.0081207678,-28.826336,-0.0081207678,-28.826336
6570453013.5089,-0.0066982387,-28.787165,-0.0066982387,-28.787165
6570478753.8129,-0.0056509576,-28.815224,-0.0056509576,-28.815224
6570504494.1169,-0.0016344887,-28.837534,-0.0016344887,-28.837534
6570530234.4209,-0.0034032671,-28.863031,-0.0034032671,-28.863031
6570555974.7249,-0.0016785116,-28.862782,-0.0016785116,-28.862782
6570581715.0289,-0.0032037934,-28.910381,-0.0032037934,-28.910381
6570607455.3329,-0.009481241,-28.885704,-0.009481241,-28.885704
6570633195.6369,-0.01106636,-28.921661,-0.01106636,-28.921661
6570658935.9409,-0.0081062447,-28.910955,-0.0081062447,-28.910955
6570684676.2449,-0.0080652684,-28.900997,-0.0080652684,-28.900997
6570710416.5489,-0.002557769,-28.947275,-0.002557769,-28.947275
6570736156.8529,-0.0041250754,-28.91214,-0.0041250754,-28.91214
6570761897.1569,-0.00054389826,-28.982115,-0.00054389826,-28.982115
6570787637.4609,0.00047006374,-28.973223,0.00047006374,-28.973223
6570813377.7649,-0.0043818569,-28.987751,-0.0043818569,-28.987751
6570839118.0689,-0.0051061604,-29.012629,-0.0051061604,-29.012629
6570864858.3729,-0.0046031517,-29.008411,-0.0046031517,-29.008411
6570890598.6769,-0.0013234924,-29.039457,-0.0013234924,-29.039457
6570916338.981,-0.0057660425,-29.022461,-0.0057660425,-29.022461
6570942079.285,-0.0069637285,-29.061493,-0.0069637285,-29.061493
6570967819.589,0.0019192792,-29.068483,0.0019192792,-29.068483
6570993559.893,-0.00098455499,-29.078529,-0.00098455499,-29.078529
6571019300.197,-0.0029833468,-29.068165,-0.0029833468,-29.068165
6571045040.501,0.0037032205,-29.10981,0.0037032205,-29.10981
6571070780.805,-0.0027753448,-29.097403,-0.0027753448,-29.097403
6571096521.109,0.00083914201,-29.083454,0.00083914201,-29.083454
6571122261.413,-0.0058588386,-29.092245,-0.0058588386,-29.092245
6571148001.717,-0.0078640245,-29.098307,-0.0078640245,-29.098307
6571173742.021,-0.0098509379,-29.137133,-0.0098509379,-29.137133
6571199482.325,0.00085984677,-29.146111,0.00085984677,-29.146111
6571225222.629,0.0015497752,-29.144192,0.0015497752,-29.144192
6571250962.933,-0.0079667205,-29.160738,-0.0079667205,-29.160738
6571276703.237,-0.0055299145,-29.162626,-0.0055299145,-29.162626
6571302443.541,-0.0010767309,-29.211374,-0.0010767309,-29.211374
6571328183.845,-0.0012240611,-29.172878,-0.0012240611,-29.172878
6571353924.149,-0.0049304506,-29.202999,-0.0049304506,-29.202999
6571379664.453,-0.0078756949,-29.22373,-0.0078756949,-29.22373
6571405404.7571,0.00015841924,-29.212894,0.00015841924,-29.212894
6571431145.0611,-0.0081817145,-29.225817,-0.0081817145,-29.225817
6571456885.3651,-0.0033001613,-29.269106,-0.0033001613,-29.269106
6571482625.6691,-0.0029678047,-29.268064,-0.0029678047,-29.268064
6571508365.9731,-0.0079905791,-29.290581,-0.0079905791,-29.290581
6571534106.2771,-0.0085487068,-29.263899,-0.0085487068,-29.263899
6571559846.5811,-0.0010422942,-29.247297,-0.0010422942,-29.247297
6571585586.8851,-0.0052471482,-29.30604,-0.0052471482,-29.30604
6571611327.1891,-0.0026023192,-29.310831,-0.0026023192,-29.310831
6571637067.4931,-0.011504453,-29.330807,-0.011504453,-29.330807
6571662807.7971,-0.0055052917,-29.320391,-0.0055052917,-29.320391
6571688548.1011,-0.010649591,-29.326046,-0.010649591,-29.326046
6571714288.4051,-0.011003817,-29.356274,-0.011003817,-29.356274
6571740028.7091,-0.011147591,-29.329243,-0.011147591,-29.329243
6571765769.0131,-0.0092327185,-29.383238,-0.0092327185,-29.383238
6571791509.3171,-0.010404116,-29.38348,-0.010404116,-29.38348
6571817249.6211,-0.014599606,-29.36488,-0.014599606,-29.36488
6571842989.9251,-0.0082545914,-29.383949,-0.0082545914,-29.383949
6571868730.2291,-0.0090856357,-29.378887,-0.0090856357,-29.378887
6571894470.5332,-0.0054057646,-29.422831,-0.0054057646,-29.422831
6571920210.8372,-0.012161414,-29.434729,-0.012161414,-29.434729
6571945951.1412,-0.0076104086,-29.441315,-0.0076104086,-29.441315
6571971691.4452,-0.0063925828,-29.401134,-0.0063925828,-29.401134
6571997431.7492,-0.014012394,-29.472826,-0.014012394,-29.472826
6572023172.0532,-0.0084786778,-29.422895,-0.0084786778,-29.422895
6572048912.3572,-0.012193084,-29.512148,-0.012193084,-29.512148
6572074652.6612,-0.0037079353,-29.49371,-0.0037079353,-29.49371
6572100392.9652,-0.0015526591,-29.484234,-0.0015526591,-29.484234
6572126133.2692,-0.011325369,-29.483564,-0.011325369,-29.483564
6572151873.5732,-0.0064366539,-29.5338,-0.0064366539,-29.5338
6572177613.8772,-0.0074128159,-29.528708,-0.0074128159,-29.528708
6572203354.1812,-0.0030960296,-29.528393,-0.0030960296,-29.528393
6572229094.4852,-0.0070614764,-29.533377,-0.0070614764,-29.533377
6572254834.7892,-0.0070684766,-29.563,-0.0070684766,-29.563
6572280575.0932,-0.0087154852,-29.603212,-0.0087154852,-29.603212
6572306315.3972,-0.0081511112,-29.59177,-0.0081511112,-29.59177
6572332055.7012,-0.0028761066,-29.592604,-0.0028761066,-29.592604
6572357796.0052,-0.0038012054,-29.63446,-0.0038012054,-29.63446
6572383536.3093,-0.012350136,-29.648991,-0.012350136,-29.648991
6572409276.6133,-0.0019543124,-29.688482,-0.0019543124,-29.688482
6572435016.9173,-0.0085056517,-29.649517,-0.0085056517,-29.649517
6572460757.2213,0.0010265162,-29.69208,0.0010265162,-29.69208
6572486497.5253,-0.0063306247,-29.638523,-0.0063306247,-29.638523
6572512237.8293,-0.0076661613,-29.677517,-0.0076661613,-29.677517
6572537978.1333,-0.0092438729,-29.725847,-0.0092438729,-29.725847
6572563718.4373,-0.014496235,-29.723164,-0.014496235,-29.723164
6572589458.7413,-0.0079789087,-29.696699,-0.0079789087,-29.696699
6572615199.0453,-0.0083246175,-29.750813,-0.0083246175,-29.750813
6572640939.3493,-0.0053119417,-29.762747,-0.0053119417,-29.762747
6572666679.6533,-0.0076687546,-29.737364,-0.0076687546,-29.737364
6572692419.9573,-0.002887245,-29.777197,-0.002887245,-29.777197
6572718160.2613,-0.012613895,-29.806406,-0.012613895,-29.806406
6572743900.5653,-0.012818474,-29.784576,-0.012818474,-29.784576
6572769640.8693,-0.0029683227,-29.835739,-0.0029683227,-29.835739
6572795381.1733,-0.011919227,-29.857189,-0.011919227,-29.857189
6572821121.4773,-0.0066961646,-29.841919,-0.0066961646,-29.841919
6572846861.7813,-0.0016067803,-29.838808,-0.0016067803,-29.838808
6572872602.0854,-0.0022469654,-29.880739,-0.0022469654,-29.880739
6572898342.3894,-0.0080084736,-29.872728,-0.0080084736,-29.872728
6572924082.6934,-0.0036043043,-29.880112,-0.0036043043,-29.880112
6572949822.9974,-0.004048381,-29.908686,-0.004048381,-29.908686
6572975563.3014,-0.0017660409,-29.931416,-0.0017660409,-29.931416
6573001303.6054,-0.0030825594,-29.918337,-0.0030825594,-29.918337
6573027043.9094,-0.012178287,-29.926901,-0.012178287,-29.926901
6573052784.2134,-0.0012183646,-29.957039,-0.0012183646,-29.957039
6573078524.5174,-0.0011417213,-29.942526,-0.0011417213,-29.942526
6573104264.8214,-0.0072307899,-29.939766,-0.0072307899,-29.939766
6573130005.1254,-0.0029286903,-29.963535,-0.0029286903,-29.963535
6573155745.4294,-0.0094599687,-29.972717,-0.0094599687,-29.972717
6573181485.7334,-0.010129853,-29.999475,-0.010129853,-29.999475
6573207226.0374,-0.0075403946,-30.006107,-0.0075403946,-30.006107
6573232966.3414,-0.0057997392,-30.003204,-0.0057997392,-30.003204
6573258706.6454,-0.0047461963,-30.017002,-0.0047461963,-30.017002
6573284446.9494,-0.00091076386,-30.018013,-0.00091076386,-30.018013
6573310187.2534,-0.0031569055,-30.054153,-0.0031569055,-30.054153
6573335927.5574,-0.0099438215,-30.005831,-0.0099438215,-30.005831
6573361667.8615,-0.007936378,-30.063246,-0.007936378,-30.063246
6573387408.1655,-0.0017792481,-30.052507,-0.0017792481,-30.052507
6573413148.4695,-0.0048065768,-30.062218,-0.0048065768,-30.062218
6573438888.7735,-0.0042608492,-30.079632,-0.0042608492,-30.079632
6573464629.0775,-0.0062987385,-30.118477,-0.0062987385,-30.118477
6573490369.3815,8.3869731e-05,-30.087076,8.3869731e-05,-30.087076
6573516109.6855,-0.0051009771,-30.098967,-0.0051009771,-30.098967
6573541849.9895,-0.00814748,-30.127863,-0.00814748,-30.127863
6573567590.2935,-0.0094488133,-30.15073,-0.0094488133,-30.15073
6573593330.5975,-0.0033296938,-30.14657,-0.0033296938,-30.14657
6573619070.9015,-0.0086882496,-30.159309,-0.0086882496,-30.159309
6573644811.2055,-0.011914035,-30.14723,-0.011914035,-30.14723
6573670551.5095,-0.0095733386,-30.149927,-0.0095733386,-30.149927
6573696291.8135,-0.0099090543,-30.177498,-0.0099090543,-30.177498
6573722032.1175,-0.003280214,-30.205894,-0.003280214,-30.205894
6573747772.4215,-0.005805701,-30.183306,-0.005805701,-30.183306
6573773512.7255,-0.0052194167,-30.191975,-0.0052194167,-30.191975
6573799253.0295,-0.0087533547,-30.209934,-0.0087533547,-30.209934
6573824993.3335,-0.0051590302,-30.253429,-0.0051590302,-30.253429
6573850733.6376,-0.0098400414,-30.269661,-0.0098400414,-30.269661
6573876473.9416,-0.0091128722,-30.264957,-0.0091128722,-30.264957
6573902214.2456,-0.0043178545,-30.292801,-0.0043178545,-30.292801
6573927954.5496,-0.0099305892,-30.223881,-0.0099305892,-30.223881
6573953694.8536,-0.0074960529,-30.306297,-0.0074960529,-30.306297
6573979435.1576,-0.0033457556,-30.292978,-0.0033457556,-30.292978
6574005175.4616,-0.0054620076,-30.297937,-0.0054620076,-30.297937
6574030915.7656,-0.0068257963,-30.324791,-0.0068257963,-30.324791
6574056656.0696,-0.0035742517,-30.328571,-0.0035742517,-30.328571
6574082396.3736,-0.0082670404,-30.297457,-0.0082670404,-30.297457
6574108136.6776,-0.01064025,-30.343382,-0.01064025,-30.343382
6574133876.9816,-0.0084052775,-30.330322,-0.0084052775,-30.330322
6574159617.2856,-0.0046783015,-30.379221,-0.0046783015,-30.379221
6574185357.5896,-0.0066787945,-30.416664,-0.0066787945,-30.416664
6574211097.8936,-0.0095567349,-30.386497,-0.0095567349,-30.386497
6574236838.1976,-0.014597788,-30.365891,-0.014597788,-30.365891
6574262578.5016,-0.014477794,-30.441212,-0.014477794,-30.441212
6574288318.8056,-0.0038328141,-30.402452,-0.0038328141,-30.402452
6574314059.1096,-0.0087634707,-30.467661,-0.0087634707,-30.467661
6574339799.4136,-0.011602822,-30.450895,-0.011602822,-30.450895
6574365539.7177,-0.0065629077,-30.467764,-0.0065629077,-30.467764
6574391280.0217,-0.0071447063,-30.477074,-0.0071447063,-30.477074
6574417020.3257,-0.0050657308,-30.492399,-0.0050657308,-30.492399
6574442760.6297,-0.0086151063,-30.511425,-0.0086151063,-30.511425
6574468500.9337,-0.011936359,-30.484505,-0.011936359,-30.484505
6574494241.2377,-0.0094591901,-30.514807,-0.0094591901,-30.514807
6574519981.5417,-0.0072813518,-30.517818,-0.0072813518,-30.517818
6574545721.8457,-0.012048496,-30.551659,-0.012048496,-30.551659
6574571462.1497,-0.0097038336,-30.587032,-0.0097038336,-30.587032
6574597202.4537,-0.016068636,-30.577063,-0.016068636,-30.577063
6574622942.7577,-0.0085720504,-30.591478,-0.0085720504,-30.591478
6574648683.0617,-0.01402382,-30.576832,-0.01402382,-30.576832
6574674423.3657,-0.014764539,-30.580738,-0.014764539,-30.580738
6574700163.6697,-0.012938423,-30.628662,-0.012938423,-30.628662
6574725903.9737,-0.012242146,-30.632204,-0.012242146,-30.632204
6574751644.2777,-0.01624064,-30.658434,-0.01624064,-30.658434
6574777384.5817,-0.011834607,-30.648855,-0.011834607,-30.648855
6574803124.8857,-0.01018486,-30.6703,-0.01018486,-30.6703
6574828865.1897,-0.0054200194,-30.673632,-0.0054200194,-30.673632
6574854605.4938,-0.014781422,-30.691647,-0.014781422,-30.691647
6574880345.7978,-0.014159384,-30.711468,-0.014159384,-30.711468
6574906086.1018,-0.0098504191,-30.723028,-0.0098504191,-30.723028
6574931826.4058,-0.0041198935,-30.721992,-0.0041198935,-30.721992
6574957566.7098,-0.010690073,-30.761045,-0.010690073,-30.761045
